Timestamp,Tipo,PAXG_Preço,XAUUSD_Preço,Spread,Probabilidade,Retorno,Taxa,Dia_Útil
2024-05-17 21:00:00,Compra,2394.0,2413.84,19.840000000000146,0.7408387064933777,-8.850821511119378e-05,0.0,Não
2024-05-20 09:00:00,Venda,2418.0,2440.15,22.15000000000009,0.918799877166748,0.002729021835016443,0.0,Sim
2024-05-20 13:00:00,Compra,2400.0,2413.92,13.920000000000073,0.8781894445419312,-0.0014991171112972435,0.0,Sim
2024-05-20 15:00:00,Venda,2403.0,2423.1,20.09999999999991,0.7665583491325378,0.0004104662462878217,0.0,Sim
2024-05-20 16:00:00,Compra,2410.0,2424.99,14.989999999999782,0.7045955061912537,0.0021965910582966153,0.0,Sim
2024-05-21 15:00:00,Venda,2412.0,2429.56,17.559999999999945,0.7161023616790771,-3.0920335099993146e-05,0.0,Sim
2024-05-21 16:00:00,Compra,2410.0,2423.45,13.449999999999818,0.9743819236755371,-0.0013949592914107578,0.0,Sim
2024-05-22 14:00:00,Venda,2382.0,2411.65,29.65000000000009,0.8986890316009521,-0.003172736045855329,0.0,Sim
2024-05-22 15:00:00,Compra,2385.0,2388.69,3.6900000000000546,0.9696931838989258,-0.0023709856338843815,0.0,Sim
2024-05-28 16:00:00,Venda,2354.0,2360.44,6.440000000000055,0.7655527591705322,0.0007192668795386048,0.0,Sim
2024-05-28 17:00:00,Compra,2352.0,2356.69,4.690000000000055,0.8319226503372192,-0.0010969312162587563,0.0,Sim
2024-05-29 14:00:00,Venda,2333.0,2345.72,12.7199999999998,0.7918485403060913,-0.0002713367089545171,0.0,Sim
2024-05-29 16:00:00,Compra,2333.0,2339.14,6.139999999999873,0.7690438628196716,-0.0014885362048278061,0.0,Sim
2024-05-31 13:00:00,Venda,2344.0,2354.82,10.820000000000164,0.7010635137557983,-0.0004318923289829968,0.0,Sim
2024-05-31 14:00:00,Compra,2340.0,2348.21,8.210000000000036,0.8418985605239868,-0.0020752104088528345,0.0,Sim
2024-06-05 16:00:00,Venda,2346.0,2353.75,7.75,0.7501720190048218,-0.0018801092262747954,0.0,Sim
2024-06-05 17:00:00,Compra,2352.0,2352.68,0.6799999999998363,0.8425542116165161,0.0015492180085086016,0.0,Sim
2024-06-06 16:00:00,Venda,2364.0,2374.21,10.210000000000036,0.7396158576011658,0.001966103980403755,0.0,Sim
2024-06-06 17:00:00,Compra,2368.0,2372.91,4.9099999999998545,0.8416423201560974,0.000941827400297468,0.0,Sim
2024-06-12 13:00:00,Venda,2325.0,2336.04,11.039999999999964,0.731918454170227,-0.0004085973600745918,0.0,Sim
2024-06-12 14:00:00,Compra,2326.0,2329.87,3.869999999999891,0.7344000339508057,-0.0005990181784469861,0.0,Sim
2024-06-12 17:00:00,Venda,2324.0,2337.73,13.730000000000018,0.8657912611961365,-0.0008434979767470985,0.0,Sim
2024-06-13 02:00:00,Compra,2309.0,2312.75,3.75,0.7832943201065063,-0.0011625301407515165,0.0,Não
2024-06-13 13:00:00,Venda,2309.0,2323.47,14.4699999999998,0.7983197569847107,0.0006409306343506671,0.0,Sim
2024-06-13 14:00:00,Compra,2308.0,2310.75,2.75,0.906884491443634,-0.0021240592493608768,0.0,Sim
2024-06-13 15:00:00,Venda,2299.0,2313.65,14.650000000000091,0.827428936958313,-0.002176411700307135,0.0,Sim
2024-06-13 16:00:00,Compra,2297.0,2299.02,2.019999999999982,0.9146300554275513,-0.002699203673049433,0.0,Sim
2024-06-14 13:00:00,Venda,2325.0,2330.37,5.369999999999891,0.7557188868522644,0.0006250636326001757,0.0,Sim
2024-06-14 14:00:00,Compra,2327.0,2330.28,3.2800000000002,0.700415313243866,0.000559524203216144,0.0,Sim
2024-06-17 15:00:00,Venda,2305.0,2324.54,19.539999999999964,0.8336462378501892,-0.0015073094072546311,0.0,Sim
2024-06-17 16:00:00,Compra,2313.0,2312.65,-0.34999999999990905,0.9086609482765198,0.0005867699521338032,0.0,Sim
2024-06-18 14:00:00,Venda,2313.0,2326.8,13.800000000000182,0.8909279704093933,0.0007016037070861625,0.0,Sim
2024-06-18 15:00:00,Compra,2315.0,2323.69,8.690000000000055,0.8171625137329102,0.00012649059735725388,0.0,Sim
2024-06-18 17:00:00,Venda,2320.0,2330.29,10.289999999999964,0.8152273297309875,-0.0015167936455533493,0.0,Sim
2024-06-18 18:00:00,Compra,2323.0,2329.73,6.730000000000018,0.7659547924995422,0.0007794002409511336,0.0,Não
2024-06-19 09:00:00,Venda,2315.0,2332.57,17.570000000000164,0.8174285292625427,0.00038352643915007256,0.0,Sim
2024-06-21 15:00:00,Compra,2322.0,2329.9,7.900000000000091,0.7254543900489807,-0.0015350908660537455,0.0,Sim
2024-06-21 17:00:00,Venda,2313.0,2324.78,11.7800000000002,0.7123022675514221,-0.0021740220833383894,0.0,Sim
2024-06-21 18:00:00,Compra,2318.0,2319.35,1.349999999999909,0.7203518748283386,0.0006543849916089695,0.0,Não
2024-06-24 09:00:00,Venda,2307.0,2330.58,23.579999999999927,0.9527196884155273,-0.002336494540925216,0.0,Sim
2024-06-26 02:00:00,Compra,2302.0,2313.02,11.019999999999982,0.7015315294265747,-0.00021325033860053466,0.0,Não
2024-06-26 09:00:00,Venda,2302.0,2315.69,13.690000000000055,0.7456526160240173,-6.0817519154987565e-05,0.0,Sim
2024-06-26 14:00:00,Compra,2294.0,2296.47,2.4699999999998,0.8388764262199402,-0.0016980776149931875,0.0,Sim
